ds;holiday;lower_window;upper_window;
25.09.2017;CALICE;0;5;
18.09.2017;SCINT2017;0;5;
17.09.2017;BSM-2017;0;5;
14.09.2017;LAUNCH 17;0;5;
11.09.2017;TWEPP 2017;0;5;
10.09.2017;VERTEX 2017;0;5;
04.09.2017;PSD 11;0;5;
03.09.2017;FCAL;0;5;
02.09.2017;CORFU;0;5;
01.09.2017;PANIC 17;0;5;
29.08.2017;CLICdp;0;5;
28.08.2017;;0;5;
24.08.2017;;0;5;
21.08.2017;ACAT;0;5;
17.08.2017;ICNFP;0;5;
07.08.2017;LP17;0;5;
24.07.2017;8th Higgs Hunting 2017;0;5;
16.07.2017;BOOST;0;5;
17.07.2017;;0;5;
17.07.2017;;0;5;
10.07.2017;DSU2017;0;5;
05.07.2017;FPCP 2017;0;5;
05.07.2017;EPS-HEP;0;5;
03.07.2017;FTDM;0;5;
03.07.2017;NDIP;0;5;
02.07.2017;iWoRiD;0;5;
26.06.2017;PhiPsi17;0;5;
26.06.2017;AWLC;0;5;
07.06.2017;topLC 2017;0;5;
29.05.2017;Dirac User Workshop;0;5;
22.05.2017;TIPP2017;0;5;
15.05.2017;LHCP2017;0;5;
11.05.2017;MC4BSM2017;0;5;
30.04.2017;ALPS2017;0;5;
30.04.2017;LC Vertex;0;5;
03.04.2017;DIS'17;0;5;
25.03.2017;Moriond QCD;0;5;
22.03.2017;CALICE;0;5;
18.03.2017;Moriond EW;0;5;
05.03.2017;La Thuile;0;5;
06.03.2017;CTD;0;5;
06.03.2017;FCAL;0;5;
06.03.2017;CLIC;0;5;
27.02.2017;INSTR17;0;5;
20.02.2017;Trento;0;5;
19.02.2017;LLWI;0;5;
24.01.2017;BTTB;0;5;
23.01.2017;CPIX17;0;5;
09.01.2017;Epiphany;0;5;
