DATETIME,WORKINGGROUP,INPUT_FORMAT_SHORT,INPUT_FORMAT_DESC,INPUT_PROJECT,N_TASKS,N_FILES
2017-04-02,,EVNT,,mc12_8TeV,6,10
2017-04-02,,DAOD,MUON,data16_13TeV,10,155
2017-04-09,phys-higgs,DAOD,TRUTH,mc15_13TeV,9,9
2017-04-09,,EVNT,,mc15_13TeV,216,263
2017-04-09,perf-muons,DAOD,MUON,data16_13TeV,9,143
2017-04-09,phys-susy,DAOD,HIGGD,mc15_13TeV,105,215
2017-04-23,phys-higgs,DAOD,HIGGD,mc15_13TeV,310,537
2017-04-16,,DAOD,HIGGD,data15_13TeV,826,909
2017-04-16,phys-exotics,AOD,,data16_13TeV,10,10
2017-04-16,,DAOD,JETM,mc15_13TeV,1167,1923
2017-04-23,,DAOD,HIGGD,data16_13TeV,623,754
2017-04-23,,DAOD,JETM,data16_13TeV,263,4688
2017-04-23,,DAOD,MUON,data16_13TeV,370,496
2017-04-16,,AOD,,data15_13TeV,11,11
2017-05-07,phys-higgs,DAOD,HIGGD,mc15_13TeV,335,1497
2017-04-23,trig-daq,,,data16_13TeV,39,39
2017-04-23,perf-idtracking,DAOD,IDTIDE,data16_13TeV,217,217
2017-04-30,,DAOD,TOPQ,data16_13TeV,78,1222
2017-04-30,,EVNT,,mc15_8TeV,39,39
2017-05-14,,AOD,,data12_8TeV,1,47
2017-04-30,,DAOD,HIGGD,data15_13TeV,466,645
2017-04-30,,AOD,,mc15_5TeV,58,61
2017-04-30,,AOD,,mc15_14TeV,68,86
2017-04-30,,DAOD,STDM,data16_13TeV,352,622
2017-05-07,,DAOD,TOPQ,data16_13TeV,67,1143
2017-04-30,,AOD,,mc12_8TeV,18,18
2017-04-30,perf-idtracking,DESDM,ZMUMU,data16_13TeV,146,146
2017-03-26,perf-flavtag,AOD,,mc16_13TeV,14,14
2017-04-02,phys-gener,EVNT,,mc15_13TeV,6,6
2017-04-09,,HITS,,mc15_13TeV,16,17
2017-04-16,,DAOD,EGAM,mc15_13TeV,26,80
2017-05-07,,DAOD,FTAG,mc15_13TeV,27,42
2017-05-14,,log,,mc15_13TeV,4,7
2017-05-07,,AOD,,data16_13TeV,1490,1490
2017-04-23,,,,data16_13TeV,6,6
2017-04-23,,AOD,,data15_hi,38,106
2017-04-30,,AOD,,data12_8TeV,7,178
2017-04-30,,DAOD,TOPQ,data15_13TeV,47,518
2017-02-19,,DAOD,RPVLL,data15_13TeV,1,1
2017-02-26,,HITS,,mc15_14TeV,1,1
2017-03-19,,TXT,,mc15_13TeV,5,10
2017-03-05,,DAOD,BPHY,data15_13TeV,3,197
2017-03-12,,NTUP,HI,mc12_2TeV,4,7
2017-03-12,,DAOD,HION,data16_hip8TeV,14,14
2017-03-19,phys-susy,DAOD,HIGGD,mc15_13TeV,1,10
2017-03-26,phys-beauty,AOD,,data16_13TeV,1,1
2017-07-23,,AOD,,mc15_13TeV,94,280
2017-04-09,,DAOD,RPVLL,data15_13TeV,1,1
2017-03-05,phys-sm,DAOD,STDM,mc15_13TeV,2,2
2017-02-26,,EVNT,,mc15_7TeV,3,3
2017-03-05,perf-jets,AOD,,data16_13TeV,4,4
2017-03-12,,DESDM,MCP,data16_13TeV,2,2
2017-03-12,,DESDM,RPVLL,data12_8TeV,1,1
2017-04-16,,NTUP,COMMON,data12_8TeV,7,207
2017-05-14,,DAOD,EXOT,data16_13TeV,1855,2797
2017-04-23,,TXT,,mc15_13TeV,2,3
2017-04-30,,HITS,,mc15_14TeV,4,7
2017-02-19,,DRAW,RPVLL,data16_13TeV,3,3
2017-02-26,,AOD,,mc11_7TeV,3,4
2017-03-05,,,,data16_13TeV,11,11
2017-03-19,,DRAW,ZMUMU,data16_13TeV,4,4
2017-04-02,,NTUP,HI,data13_hip,3,3
2017-04-09,,DRAW,RPVLL,data16_13TeV,1,1
2017-04-23,,AOD,,mc15_5TeV,5,5
2017-04-30,,DAOD,FTAG,mc15_13TeV,13,32
2017-02-26,,ESD,,mc15_14TeV,7,8
2017-02-26,,DAOD,IDTIDE,mc15_13TeV,2,2
2017-03-12,perf-idtracking,AOD,,mc15_13TeV,1,11
2017-07-09,,DAOD,JETM,mc15_13TeV,828,1217
2017-04-16,,NTUP,MINBIAS,mc09_7TeV,1,1
2017-03-12,,DESDM,EGZ,data16_13TeV,1,1
2017-07-02,,DAOD,EXOT,mc15_13TeV,1467,2042
2017-05-14,phys-higgs,DRAW,ZMUMU,data15_13TeV,1,106
2017-08-20,,DAOD,HIGGD,mc15_13TeV,1604,2173
2017-10-22,,DAOD,ONIAMUMU,data11_7TeV,28,271
2017-04-02,,DRAW,ZMUMU,data15_5TeV,1,6
2017-04-16,,AOD,,mc15_valid,1,30
2017-03-05,perf-egamma,RDO,,mc16_13TeV,1,1
2017-03-19,,,,data12_8TeV,1,1
2018-10-07,phys-higgs,DAOD,HIGGD,data16_13TeV,3,34
2017-04-23,,AOD,,data16_hip8TeV,1,1
2017-04-02,,RDO,,mc15_14TeV,3,4
2017-04-30,,ESD,,data16_13TeV,1,1
2017-02-26,,AOD,,data15_5TeV,1,1
2017-04-23,,DAOD,BPHY,data15_13TeV,1,106
2017-05-14,,DAOD,RPVLL,data16_13TeV,8,366
2017-04-30,,DAOD,HION,data15_hi,34,34
2017-05-07,,NTUP,COMMON,mc12_8TeV,239,633
2017-05-07,,AOD,,data15_13TeV,10,15
2017-05-07,perf-idtracking,DESDM,ZMUMU,data15_13TeV,104,105
2017-05-07,,DAOD,IDTR,data16_13TeV,5,5
2017-05-07,,NTUP,TOP,mc11_7TeV,114,228
2017-05-14,,AOD,,mc15_13TeV,324,754
2017-05-14,phys-higgs,DAOD,HIGGD,data15_13TeV,113,362
2017-05-14,phys-exotics,DAOD,EXOT,mc15_13TeV,64,64
2017-05-14,,DAOD,JETM,data15_13TeV,156,377
2017-05-21,,HITS,,mc15_14TeV,9,14
2017-06-18,,DAOD,HIGGD,mc15_13TeV,1256,2076
2017-05-21,,DAOD,JETM,data16_13TeV,361,2706
2017-05-21,,AOD,,data15_5TeV,7,27
2017-05-14,det-indet,DRAW,ZMUMU,data16_13TeV,2,2
2017-05-14,phys-sm,DAOD,FTAG,mc15_13TeV,38,48
2017-05-14,,DAOD,FTAG,mc15_13TeV,118,164
2017-05-21,,DAOD,TOPQ,data16_13TeV,65,820
2017-05-21,,DAOD,IDTRKLUMI,mc15_13TeV,27,81
2017-05-21,,DAOD,STDM,mc15_13TeV,131,324
2017-05-21,,DAOD,ONIAMUMU,data12_8TeV,1,26
2017-05-21,,DAOD,MUON,data16_13TeV,3,8
2017-05-21,,DAOD,JPSIMUMU,data12_8TeV,18,464
2017-05-21,,DESDM,MCP,data17_13TeV,1,1
2017-05-28,perf-muons,DAOD,MUON,mc15_13TeV,104,234
2017-06-04,,AOD,,mc16_13TeV,148,229
2017-05-28,,NTUP,COMMON,data12_8TeV,15,15
2017-05-28,trig-daq,,,data17_13TeV,43,43
2017-06-04,,DAOD,STDM,data16_13TeV,227,1018
2017-06-11,perf-muons,DAOD,MUON,mc16_13TeV,2,3
2017-05-28,,DAOD,FTAG,data15_13TeV,108,108
2017-05-28,phys-higgs,DAOD,HIGGD,data16_13TeV,137,310
